brand,model,brand_processor,name_processor,ram_size,ram_type,ssd,hdd,os,os_bit,latest_price,uniq
Lenovo,A6-9225,AMD,A6-9225 Processor,4 GB,DDR4,0 GB,1024 GB,Windows,64-bit,24990,1
Lenovo,Ideapad,AMD,APU Dual,4 GB,DDR4,0 GB,512 GB,Windows,64-bit,19590,2
Avita,PURA,AMD,APU Dual,4 GB,DDR4,128 GB,0 GB,Windows,64-bit,19990,3
Avita,PURA,AMD,APU Dual,4 GB,DDR4,128 GB,0 GB,Windows,64-bit,21490,4
Avita,PURA,AMD,APU Dual,4 GB,DDR4,256 GB,0 GB,Windows,64-bit,24990,5
Avita,PURA,AMD,APU Dual,8 GB,DDR4,256 GB,0 GB,Windows,64-bit,24990,6
HP,APU,AMD,APU Dual,4 GB,DDR4,0 GB,1024 GB,Windows,32-bit,20900,7
Lenovo,APU,AMD,APU Dual,4 GB,DDR4,0 GB,1024 GB,Windows,64-bit,21896,8
HP,Athlon,AMD,Athlon Dual,32 GB,DDR4,32 GB,0 GB,Windows,32-bit,26899,9
acer,Aspire,AMD,Athlon Dual,4 GB,DDR4,256 GB,0 GB,Windows,64-bit,31990,10
ASUS,ExpertBook,Intel,Core i3,4 GB,DDR4,0 GB,1024 GB,Windows,64-bit,34649,11
Lenovo,Missing,Intel,Core i3,4 GB,DDR4,0 GB,1024 GB,Windows,64-bit,38999,12
Lenovo,v15,Intel,Core i3,4 GB,DDR4,0 GB,1024 GB,Windows,64-bit,39999,13
ASUS,ExpertBook,Intel,Core i5,8 GB,DDR4,512 GB,0 GB,Windows,32-bit,69990,14
ASUS,VivoBook,Intel,Celeron Dual,4 GB,DDR4,0 GB,512 GB,Windows,64-bit,26990,15
ASUS,EeeBook,Intel,Celeron Dual,4 GB,DDR4,0 GB,512 GB,Windows,64-bit,22990,16
ASUS,EeeBook,Intel,Celeron Dual,4 GB,DDR4,0 GB,512 GB,Windows,32-bit,21990,17
ASUS,ExpertBook,Intel,Core i5,8 GB,DDR4,0 GB,1024 GB,Windows,32-bit,58799,18
Lenovo,Missing,Intel,Core i5,4 GB,DDR4,0 GB,1024 GB,Windows,32-bit,49999,19
acer,Aspire,AMD,Ryzen,4 GB,DDR4,0 GB,512 GB,Windows,32-bit,54990,20
acer,Nitro,AMD,Ryzen 5,4 GB,DDR4,0 GB,512 GB,Windows,32-bit,59990,21
acer,Nitro,AMD,Ryzen 5,4 GB,DDR4,0 GB,512 GB,Windows,32-bit,93700,22
acer,Nitro,AMD,Ryzen 5,4 GB,DDR4,0 GB,512 GB,Windows,32-bit,72990,23
Avita,Cosmos,Intel,Celeron Dual,4 GB,DDR4,0 GB,512 GB,Windows,64-bit,17490,24
ASUS,EeeBook,Intel,Celeron Dual,4 GB,DDR4,0 GB,512 GB,Windows,64-bit,22990,25
ASUS,ExpertBook,Intel,Core i3,4 GB,DDR4,256 GB,0 GB,Windows,64-bit,35990,26
HP,x360,Intel,Core i3,8 GB,DDR4,256 GB,0 GB,Windows,64-bit,56490,27
HP,x360,Intel,Core i5,8 GB,DDR4,256 GB,0 GB,Windows,64-bit,65390,28
Lenovo,IdeaPad,Intel,Celeron Dual,4 GB,DDR4,256 GB,0 GB,Windows,64-bit,31999,29
HP,Celeron,Intel,Celeron Dual,8 GB,DDR4,256 GB,0 GB,Windows,64-bit,32490,30
Lenovo,IdeaPad,Intel,Celeron Dual,4 GB,DDR4,256 GB,0 GB,Windows,64-bit,31799,31
ASUS,VivoBook,Intel,Celeron Dual,4 GB,DDR4,256 GB,0 GB,Windows,64-bit,29890,32
ASUS,Celeron,Intel,Celeron Dual,4 GB,DDR4,0 GB,1024 GB,Windows,64-bit,23990,33
HP,15q,Intel,Core i3,4 GB,DDR4,0 GB,1024 GB,Windows,64-bit,32955,34
HP,250-G6,Intel,Core i5,4 GB,DDR4,0 GB,1024 GB,Windows,32-bit,46200,35
ASUS,Missing,Intel,Core i3,4 GB,DDR4,256 GB,0 GB,Windows,64-bit,34429,36
Lenovo,IdeaPad,Intel,Core i3,8 GB,DDR4,256 GB,0 GB,Windows,32-bit,37990,37
ASUS,VivoBook,Intel,Core i3,4 GB,DDR4,256 GB,0 GB,Windows,32-bit,35990,38
ASUS,VivoBook,Intel,Core i3,8 GB,DDR4,256 GB,0 GB,Windows,64-bit,33980,39
HP,Missing,Intel,Core i3,8 GB,DDR4,256 GB,0 GB,Windows,64-bit,39990,40
DELL,Vostro,Intel,Core i3,8 GB,DDR4,256 GB,0 GB,Windows,64-bit,39490,41
RedmiBook,15,Intel,Core i3,8 GB,DDR4,256 GB,0 GB,Windows,32-bit,38990,42
HP,Pavilion,Intel,Core i3,8 GB,DDR4,256 GB,0 GB,Windows,64-bit,53990,43
acer,Aspire,Intel,Core i3,8 GB,DDR4,256 GB,0 GB,Windows,64-bit,38990,44
realme,Book,Intel,Core i3,8 GB,DDR4,256 GB,0 GB,Windows,64-bit,46990,45
ASUS,Missing,Intel,Core i3,8 GB,DDR4,256 GB,0 GB,Windows,64-bit,37990,46
ASUS,VivoBook,Intel,Core i3,8 GB,DDR4,256 GB,0 GB,Windows,64-bit,37890,47
Lenovo,IdeaPad,Intel,Core i3,8 GB,DDR4,256 GB,0 GB,Windows,64-bit,38990,48
Lenovo,IdeaPad,Intel,Core i3,8 GB,DDR4,256 GB,0 GB,Windows,64-bit,37990,49
DELL,Vostro,Intel,Core i3,8 GB,DDR4,256 GB,0 GB,Windows,64-bit,41990,50
ASUS,VivoBook,Intel,Core i3,8 GB,DDR4,256 GB,0 GB,Windows,64-bit,45990,51
Lenovo,IdeaPad,Intel,Core i3,8 GB,DDR4,256 GB,0 GB,Windows,64-bit,39990,52
DELL,Inspiron,Intel,Core i3,8 GB,DDR4,256 GB,0 GB,Windows,64-bit,42490,53
Infinix,INBook,Intel,Core i3,8 GB,LPDDR4X,256 GB,0 GB,Windows,64-bit,32990,54
DELL,Vostro,Intel,Core i3,4 GB,DDR4,256 GB,0 GB,Windows,64-bit,36990,55
Lenovo,Ideapad,Intel,Core i3,8 GB,DDR4,256 GB,0 GB,Windows,64-bit,53990,56
ASUS,VivoBook,Intel,Core i3,8 GB,DDR4,256 GB,0 GB,Windows,64-bit,36990,57
